Team,PG,SG,SF,PF,C,Poss,Diff Rank,Diff,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
NYK,Jalen Brunson,Miles McBride,Josh Hart,OG Anunoby,Karl-Anthony Towns,114,99,+40.4,98,141.2,84,62.1%,89,10.5%,24,22.0%,92,26.2,85,100.8,25,57.4%,82,16.9%,82,21.8%,90,10.5
MIA,Terry Rozier,Tyler Herro,Jaime Jaquez Jr.,Nikola Jovic,Kel'el Ware,113,7,-19.4,52,116.8,23,52.7%,94,9.7%,27,23.0%,10,11.5,2,136.2,7,62.2%,6,9.5%,10,33.3%,42,18.0
WAS,Carlton Carrington,Kyshawn George,Bilal Coulibaly,Corey Kispert,Alexandre Sarr,113,5,-21.9,60,118.6,77,60.2%,69,12.4%,6,16.0%,35,16.3,0,140.5,12,59.7%,11,10.3%,2,36.8%,1,31.5
MIL,AJ Green,Gary Trent Jr.,Khris Middleton,Giannis Antetokounmpo,Bobby Portis,112,97,+34.1,97,141.1,96,65.3%,96,8.9%,2,14.0%,97,30.6,69,107.0,74,51.0%,59,14.8%,76,22.6%,36,18.6
ATL,Trae Young,Dyson Daniels,Zaccharie Risacher,DeAndre Hunter,Onyeka Okongwu,112,21,-7.8,74,124.1,98,67.0%,14,17.9%,63,28.6%,20,13.8,5,131.9,0,72.2%,72,15.9%,98,17.6%,5,26.1
BOS,Jrue Holiday,Derrick White,Jaylen Brown,Al Horford,Kristaps Porzingis,112,29,-4.5,8,101.8,17,51.5%,58,13.4%,5,15.8%,15,13.0,71,106.3,79,50.5%,44,13.5%,89,20.7%,64,14.7
UTA,Keyonte George,Collin Sexton,Lauri Markkanen,John Collins,Kyle Filipowski,111,15,-12.2,48,116.2,79,60.4%,44,14.4%,36,23.9%,70,20.9,6,128.4,2,66.1%,70,15.6%,73,23.1%,3,28.7
PHX,Tyus Jones,Devin Booker,Bradley Beal,Royce O'Neale,Mason Plumlee,111,4,-23.1,41,114.4,53,56.9%,44,14.4%,9,17.0%,71,21.3,1,137.5,6,62.6%,8,9.8%,14,32.7%,23,20.6
TOR,Davion Mitchell,Ochai Agbaji,RJ Barrett,Scottie Barnes,Jakob Poeltl,110,95,+33.2,57,118.2,69,58.9%,33,15.5%,41,25.0%,71,21.1,100,85.0,97,43.7%,72,15.9%,91,20.3%,74,13.7
LAC,Kris Dunn,Kevin Porter,Amir Coffey,Nicolas Batum,Ivica Zubac,109,61,+8.3,21,108.3,58,57.5%,5,19.3%,80,32.7%,0,3.0,89,100.0,62,52.7%,91,18.5%,99,15.4%,79,13.2
NOP,Dejounte Murray,CJ McCollum,Trey Murphy III,Zion Williamson,Yves Missi,108,76,+13.7,91,130.6,74,59.8%,98,8.3%,38,24.4%,99,33.7,32,116.8,43,54.9%,81,16.8%,0,38.6%,81,12.7
ORL,Cole Anthony,Kentavious Caldwell-Pope,Franz Wagner,Paolo Banchero,Goga Bitadze,108,67,+10.0,10,103.7,15,51.0%,53,13.9%,36,24.1%,24,14.6,97,93.7,81,48.9%,89,18.0%,81,22.0%,24,20.5
SAC,Keon Ellis,Malik Monk,Kevin Huerter,Trey Lyles,Domantas Sabonis,107,10,-16.5,60,118.7,25,52.8%,61,13.1%,82,33.3%,29,15.1,4,135.2,8,62.1%,84,17.1%,30,29.8%,32,19.2
